id,annee,departement,parti,bloc_politique,n_chars,n_loc_local,n_loc_national,n_loc_total,n_intl,local_dens,national_dens,intl_dens,scale_score,has_intl,dominant_scale
EL067_L_1973_03_062_13_1_PF_05,1973,Pas-de-Calais,Changement dans le calme,non classé,5465,1,0,1,0,0.18298261665141813,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_14_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun,non classé,3188,1,0,1,1,0.31367628607277287,0.0,0.31367628607277287,1.0,True,local
EL067_L_1973_03_062_14_1_PF_02,1973,Pas-de-Calais,non mentionnÃ©,non classé,9808,1,0,1,1,0.10195758564437195,0.0,0.10195758564437195,1.0,True,local
EL067_L_1973_03_062_14_1_PF_03,1973,Pas-de-Calais,non mentionnÃ©,non classé,3705,1,0,1,0,0.2699055330634278,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_14_1_PF_04,1973,Pas-de-Calais,non mentionnÃ©,non classé,6394,1,0,1,8,0.1563966218329684,0.0,1.2511729746637472,1.7777777777777777,True,supranational
EL067_L_1973_03_062_14_1_PF_05,1973,Pas-de-Calais,Changement dans le calme,non classé,2390,1,0,1,1,0.41841004184100417,0.0,0.41841004184100417,1.0,True,local
EL067_L_1973_03_062_02_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun;Union populaire et victoire du programme commun,non classé,3149,0,0,0,1,0.0,0.0,0.31756113051762463,2.0,True,supranational
EL067_L_1973_03_062_02_1_PF_02,1973,Pas-de-Calais,Changer la vie,non classé,2341,0,0,0,0,0.0,0.0,0.0,,False,inconnu
EL067_L_1973_03_062_02_1_PF_03,1973,Pas-de-Calais,Soutien au/du PrÃ©sident de la RÃ©publique,non classé,5482,1,0,1,1,0.18241517694272164,0.0,0.18241517694272164,1.0,True,local
EL067_L_1973_03_062_02_1_PF_04,1973,Pas-de-Calais,Union,non classé,1669,1,0,1,0,0.5991611743559018,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_02_1_PF_05,1973,Pas-de-Calais,non mentionnÃ©,non classé,4059,2,0,2,0,0.4927322000492732,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_02_1_PF_06,1973,Pas-de-Calais,Changement dans le calme,non classé,5267,3,0,3,5,0.569584203531422,0.0,0.9493070058857034,1.25,True,supranational
EL067_L_1973_03_062_02_1_PF_07,1973,Pas-de-Calais,DÃ©fendre l'Artois,non classé,9240,1,0,1,0,0.10822510822510822,0.0,0.0,0.0,False,local
